Area	CountyFIPS	2010	2011	2012	2013	2014	2015	2016	2017	2018
COLORADO STATE	0	56456	57685	58244	58433	59448	60629	62520	65458	56450
ADAMS COUNTY	1	54666	56089	56633	56270	57421	58946	61444	64087	67575
ALAMOSA COUNTY	3	35935	38299	38045	34520	31400	32395	32385	36315	39191
ARAPAHOE COUNTY	5	58719	59937	60400	60651	62213	63265	66288	69553	73925
ARCHULETA COUNTY	7	56068	60170	54007	48933	48186	46646	45607	48016	50753
BACA COUNTY	9	36017	37111	39497	38829	38625	38000	37477	35898	37500
BENT COUNTY	11	36412	35667	36297	37340	39053	36791	34773	32500	34392
BOULDER COUNTY	13	64839	66479	67403	67956	69407	70961	72282	75669	78642
BROOMFIELD COUNTY	14	75590	76531	80483	77998	80430	81898	83334	85639	89624
CHAFFEE COUNTY	15	42941	43684	45713	46504	48528	51092	50993	53762	54580
CHEYENNE COUNTY	17	47125	47188	50357	51641	53900	52554	54375	54907	55227
CLEAR CREEK COUNTY	19	60426	62756	60517	67259	68531	67710	68250	68534	69936
CONEJOS COUNTY	21	33627	34435	32860	34526	37357	36652	34630	35657	34746
COSTILLA COUNTY	23	24388	25949	25309	29145	33594	31321	26610	29000	30593
CROWLEY COUNTY	25	38189	40636	38507	31477	31534	31151	31719	35292	37586
CUSTER COUNTY	27	39909	43358	42534	32427	32261	35000	38605	41330	44644
DELTA COUNTY	29	40451	41856	42786	42078	42389	42452	42011	42487	44512
DENVER COUNTY	31	45501	47499	49091	50313	51800	53637	56258	60098	63793
DOLORES COUNTY	33	43058	44077	43098	37750	32578	31875	32240	40352	41714
DOUGLAS COUNTY	35	99198	101193	101108	101591	102626	102964	105759	111154	115314
EAGLE COUNTY	37	71337	70914	71030	74456	73774	72214	78763	83803	84685
ELBERT COUNTY	39	78958	79367	80811	82118	82154	84963	87288	92849	96658
EL PASO COUNTY	41	56268	57079	57531	57125	57487	58206	60219	62535	65334
FREMONT COUNTY	43	37847	38979	40893	39943	40569	40423	42308	44712	46296
GARFIELD COUNTY	45	64902	63929	60215	57022	57214	56590	61300	66503	72898
GILPIN COUNTY	47	58036	59394	62286	63885	65851	65670	67544	72544	75120
GRAND COUNTY	49	60433	64281	64416	64664	64109	63628	67623	66489	70469
GUNNISON COUNTY	51	49356	50073	50091	52332	51371	48071	50746	52651	54979
HINSDALE COUNTY	53	74659	77321	54844	56667	55682	57083	51250	53056	52188
HUERFANO COUNTY	55	30058	29737	32754	33298	32932	31715	33257	35801	36705
JACKSON COUNTY	57	37222	48571	45298	43606	45606	46014	45053	45994	48828
JEFFERSON COUNTY	59	66075	67827	68748	68984	69698	70164	72017	75170	78943
KIOWA COUNTY	61	40089	41542	41739	40813	39375	40304	38385	39250	39784
KIT CARSON COUNTY	63	41678	43194	42832	44157	41495	40603	44449	45881	51046
LAKE COUNTY	65	41103	40543	45082	44610	46174	45367	46928	46176	46918
LA PLATA COUNTY	67	56422	56910	57407	58080	58456	60278	61910	62533	64372
LARIMER COUNTY	69	56447	57215	57927	58626	58844	59805	61942	64980	67664
LAS ANIMAS COUNTY	71	38134	40617	41623	42261	45707	45067	42808	40586	41945
LINCOLN COUNTY	73	41616	43375	43807	41910	43701	39005	40438	44725	49423
LOGAN COUNTY	75	40961	42324	41369	40415	41749	42319	43340	44876	48922
MESA COUNTY	77	52067	52986	51029	49471	48610	49322	50070	51971	53683
MINERAL COUNTY	79	53438	54375	52750	47083	47986	48125	49125	50385	61058
MOFFAT COUNTY	81	53587	50758	51008	53231	50123	51387	53664	53010	52807
MONTEZUMA COUNTY	83	44103	45623	44102	43188	43431	43553	41622	45645	46797
MONTROSE COUNTY	85	46590	47479	47139	45718	44885	43999	43890	44865	48739
MORGAN COUNTY	87	43111	42792	42829	43774	46223	48450	49495	51456	51626
OTERO COUNTY	89	34142	31246	31860	33848	32594	32311	34477	35051	34136
OURAY COUNTY	91	58393	61935	66474	64601	60701	61624	62800	61333	62230
PARK COUNTY	93	64098	61284	62594	61570	60800	56969	61675	61644	66861
PHILLIPS COUNTY	95	44084	44717	45339	43011	44390	43639	46955	50076	50724
PITKIN COUNTY	97	64502	68242	68621	72745	71060	71196	69789	67755	71244
PROWERS COUNTY	99	33969	34513	33671	34391	35408	40179	41037	41740	40097
PUEBLO COUNTY	101	40699	41273	41820	41777	41974	41286	42000	42386	44634
RIO BLANCO COUNTY	103	57992	63125	58393	60128	63910	61842	56771	57991	55543
RIO GRANDE COUNTY	105	39871	37885	38329	38993	38673	39672	40177	38534	38639
ROUTT COUNTY	107	60876	64230	65041	62002	61095	64963	63505	67472	74273
SAGUACHE COUNTY	109	30430	33672	32429	34600	33398	33393	32457	34765	34410
SAN JUAN COUNTY	111	43783	36378	37330	39583	37679	36324	41250	46397	46563
SAN MIGUEL COUNTY	113	66399	66789	63766	63594	59490	56047	58170	62243	64478
SEDGWICK COUNTY	115	37625	36797	38401	40221	43864	44191	46977	49583	45188
SUMMIT COUNTY	117	68750	67915	64680	63697	64521	67983	70192	73538	77589
TELLER COUNTY	119	58080	57931	57970	59040	62559	62372	63723	66809	65382
WASHINGTON COUNTY	121	39735	43945	43925	44683	44271	45541	46315	51458	49375
WELD COUNTY	123	55596	55825	56589	57180	58100	60572	62820	66489	70908
YUMA COUNTY	125	42114	44991	45033	44308	43279	43105	42026	44668	48394
