Area	CountyFIPS	2010	2011	2012	2013	2014	2015	2016	2017	2018
COLORADO STATE	0	4887061	4966061	5042853	5119329	5197580	5278906	5359295	5436519	5531141
ADAMS COUNTY	1	425330	434295	442996	452030	461558	471206	479977	487850	497115
ALAMOSA COUNTY	3	15293	15395	15750	15933	16111	16269	16353	16345	16444
ARAPAHOE COUNTY	5	552860	563508	574357	585333	596684	608310	617668	626612	636671
ARCHULETA COUNTY	7	12136	12152	12109	12109	12132	12174	12355	12592	12908
BACA COUNTY	9	3833	3807	3783	3761	3735	3701	3648	3581	3563
BENT COUNTY	11	6125	6164	6192	6141	6000	5895	5816	5806	5809
BOULDER COUNTY	13	290177	293205	297218	301072	305166	310032	313961	316782	321030
BROOMFIELD COUNTY	14	52872	54592	55913	57171	59027	60699	62449	64283	66120
CHAFFEE COUNTY	15	17540	17707	17879	18063	18121	18309	18507	18818	19164
CHEYENNE COUNTY	17	2194	2247	2095	2189	2153	2002	2071	2127	2039
CLEAR CREEK COUNTY	19	9088	9083	9059	9048	9114	9136	9238	9257	9379
CONEJOS COUNTY	21	8220	8228	8241	8256	8276	8249	8213	8147	8142
COSTILLA COUNTY	23	3536	3556	3556	3552	3578	3581	3590	3628	3687
CROWLEY COUNTY	25	5897	5866	5747	5629	5558	5551	5537	5514	5630
CUSTER COUNTY	27	3899	3853	4208	4245	4274	4303	4375	4505	4640
DELTA COUNTY	29	30533	30666	30710	30659	30378	30214	30221	30217	30346
DENVER COUNTY	31	578087	590507	604356	619297	633777	649654	663303	678467	693417
DOLORES COUNTY	33	2027	2043	1806	1709	1736	1862	1789	1736	1841
DOUGLAS COUNTY	35	273440	280643	286883	293014	299794	306974	314238	320940	328614
EAGLE COUNTY	37	50793	51457	51850	52151	52233	52576	52894	53726	54357
ELBERT COUNTY	39	22712	22859	23058	23295	23545	23855	24225	24553	25162
EL PASO COUNTY	41	599988	611377	622816	634423	645707	655024	665171	674826	688153
FREMONT COUNTY	43	46941	47040	47006	46850	46879	46809	46835	46601	47002
GARFIELD COUNTY	45	54761	55696	56330	56687	56684	57076	57495	57945	58538
GILPIN COUNTY	47	5126	5241	5358	5477	5557	5605	5708	5793	5924
GRAND COUNTY	49	14526	14634	14608	14535	14478	14411	14490	14793	15066
GUNNISON COUNTY	51	15136	15274	15385	15421	15503	15651	15889	16215	16537
HINSDALE COUNTY	53	489	731	790	809	871	874	856	820	878
HUERFANO COUNTY	55	6948	6829	6730	6625	6550	6502	6521	6498	6583
JACKSON COUNTY	57	1464	1494	1397	1371	1389	1335	1306	1372	1296
JEFFERSON COUNTY	59	528614	532243	536095	540669	546162	552344	558810	564029	570427
KIOWA COUNTY	61	1643	1728	1393	1423	1407	1463	1465	1368	1449
KIT CARSON COUNTY	63	8156	8178	8210	8189	8122	7980	8174	7846	7635
LAKE COUNTY	65	7039	7010	7372	7332	7311	7362	7401	7481	7585
LA PLATA COUNTY	67	50149	50820	51443	52039	52547	53182	53994	54469	55101
LARIMER COUNTY	69	291162	296107	300870	305798	311435	318227	325228	330976	338161
LAS ANIMAS COUNTY	71	15675	15549	15385	15136	14789	14503	14322	14151	14179
LINCOLN COUNTY	73	5476	5462	5443	5442	5462	5478	5515	5520	5548
LOGAN COUNTY	75	22278	22417	22541	22607	22604	21928	21862	21885	21689
MESA COUNTY	77	142284	144766	146562	147432	147509	147834	148166	148798	149998
MINERAL COUNTY	79	1020	723	702	761	704	733	793	834	823
MOFFAT COUNTY	81	13519	13586	13547	13447	13286	13117	13034	13056	13060
MONTEZUMA COUNTY	83	25279	25372	25424	25512	25569	25700	26006	25770	25909
MONTROSE COUNTY	85	40266	40812	40994	41020	40885	40815	40866	40908	41268
MORGAN COUNTY	87	27911	27943	28200	28308	28342	28359	28288	28123	28257
OTERO COUNTY	89	18830	18795	18791	18817	18712	18572	18440	18325	18325
OURAY COUNTY	91	4319	4371	4445	4475	4532	4580	4651	4653	4722
PARK COUNTY	93	16286	16259	16168	16131	16174	16189	16440	16900	17392
PHILLIPS COUNTY	95	4394	4391	4380	4383	4385	4371	4347	4327	4318
PITKIN COUNTY	97	16389	16709	17000	17173	17303	17420	17543	17747	17909
PROWERS COUNTY	99	12734	12615	12539	12473	12359	12235	12121	12084	12052
PUEBLO COUNTY	101	156244	157946	159072	160048	160757	161519	162158	163368	164685
RIO BLANCO COUNTY	103	6494	6616	6728	6770	6739	6712	6658	6557	6465
RIO GRANDE COUNTY	105	11926	11913	11925	11913	11840	11745	11623	11430	11351
ROUTT COUNTY	107	22924	23201	23385	23409	23428	23606	23980	24359	24874
SAGUACHE COUNTY	109	6161	6165	6189	6200	6211	6238	6255	6338	6468
SAN JUAN COUNTY	111	752	801	747	659	653	606	552	569	544
SAN MIGUEL COUNTY	113	7299	7383	7432	7496	7597	7676	7767	7804	7968
SEDGWICK COUNTY	115	2412	2390	2389	2376	2365	2365	2367	2357	2350
SUMMIT COUNTY	117	27105	27496	27753	28091	28482	28940	29269	29722	30429
TELLER COUNTY	119	22821	23035	23163	23276	23363	23340	23472	23769	24113
WASHINGTON COUNTY	121	4773	4709	4796	4796	4781	4795	4814	4809	4840
WELD COUNTY	123	242860	248441	253552	258780	265066	270948	278065	285729	295123
YUMA COUNTY	125	9896	9960	10032	10093	10131	10185	10150	10109	10069
