Area	CountyFIPS	Xcel	Black Hills	Atmos
COLORADO STATE	0			
ADAMS COUNTY	1	Yes		
ALAMOSA COUNTY	3	Yes		
ARAPAHOE COUNTY	5	Yes		
ARCHULETA COUNTY	7		Yes	
BACA COUNTY	9		Yes	
BENT COUNTY	11		Yes	
BOULDER COUNTY	13	Yes		
BROOMFIELD COUNTY	14	Yes		
CHAFFEE COUNTY	15	Yes		Yes
CHEYENNE COUNTY	17		Yes	
CLEAR CREEK COUNTY	19	Yes		
CONEJOS COUNTY	21	Yes		
COSTILLA COUNTY	23	Yes		
CROWLEY COUNTY	25		Yes	
CUSTER COUNTY	27		Yes	
DELTA COUNTY	29		Yes	
DENVER COUNTY	31	Yes		
DOLORES COUNTY	33		Yes	Yes
DOUGLAS COUNTY	35	Yes	Yes	
EAGLE COUNTY	37	Yes	Yes	
EL PASO COUNTY	41		Yes	
ELBERT COUNTY	39	Yes	Yes	
FREMONT COUNTY	43		Yes	Yes
GARFIELD COUNTY	45	Yes	Yes	
GILPIN COUNTY	47	Yes		
GRAND COUNTY	49	Yes		
GUNNISON COUNTY	51			Yes
HINSDALE COUNTY	53			
HUERFANO COUNTY	55			
JACKSON COUNTY	57			
JEFFERSON COUNTY	59	Yes		
KIOWA COUNTY	61		Yes	
KIT CARSON COUNTY	63		Yes	
LA PLATA COUNTY	67		Yes	Yes
LAKE COUNTY	65	Yes		
LARIMER COUNTY	69	Yes		
LAS ANIMAS COUNTY	71			
LINCOLN COUNTY	73		Yes	
LOGAN COUNTY	75	Yes	Yes	
MESA COUNTY	77	Yes	Yes	
MINERAL COUNTY	79			
MOFFAT COUNTY	81			Yes
MONTEZUMA COUNTY	83			Yes
MONTROSE COUNTY	85		Yes	
MORGAN COUNTY	87	Yes		
OTERO COUNTY	89		Yes	
OURAY COUNTY	91		Yes	
PARK COUNTY	93	Yes		
PHILLIPS COUNTY	95		Yes	
PITKIN COUNTY	97	Yes	Yes	
PROWERS COUNTY	99		Yes	
PUEBLO COUNTY	101	Yes	Yes	
RIO BLANCO COUNTY	103			
RIO GRANDE COUNTY	105	Yes		
ROUTT COUNTY	107			Yes
SAGUACHE COUNTY	109	Yes		Yes
SAN JUAN COUNTY	111		Yes	
SAN MIGUEL COUNTY	113		Yes	Yes
SEDGWICK COUNTY	115		Yes	
SUMMIT COUNTY	117	Yes		
TELLER COUNTY	119		Yes	
WASHINGTON COUNTY	121		Yes	
WELD COUNTY	123	Yes		Yes
YUMA COUNTY	125		Yes	
