Area	CountyFIPS	2010	2011	2012	2013	2014	2015	2016	2017	2018
COLORADO STATE	0	1355361	1406711	1459088	1507803	1532352	1524043	1498635	1464880	1435234
ADAMS COUNTY	1	137593	143290	150267	156969	161007	160625	158795	154334	149580
ALAMOSA COUNTY	3	6299	6557	6897	7072	7766	7671	8081	8127	7480
ARAPAHOE COUNTY	5	147718	153376	158328	166193	167536	165225	160442	154774	148437
ARCHULETA COUNTY	7	3546	3095	3551	3778	4060	4082	4188	4639	4343
BACA COUNTY	9	1611	1522	1518	1466	1539	1615	1545	1515	1596
BENT COUNTY	11	2364	2336	2174	1986	1717	1775	1868	1972	1970
BOULDER COUNTY	13	73517	77339	78434	80411	82065	80815	78190	75434	75306
BROOMFIELD COUNTY	14	7754	8495	8890	9831	10062	9643	9470	9355	9593
CHAFFEE COUNTY	15	5457	5570	5364	5205	5262	5458	5581	5750	5902
CHEYENNE COUNTY	17	600	630	580	619	680	621	662	751	624
CLEAR CREEK COUNTY	19	1886	1670	1959	1783	1669	1639	1623	1707	1846
CONEJOS COUNTY	21	3930	3926	4073	4176	3935	3956	4104	3956	4275
COSTILLA COUNTY	23	1951	1760	1832	1755	1759	1826	2105	2073	2196
CROWLEY COUNTY	25	2058	2029	2409	2647	2435	2816	2631	2298	2250
CUSTER COUNTY	27	1521	1410	1616	1711	1910	1912	1831	1665	1789
DELTA COUNTY	29	10662	10719	11313	11579	11559	11785	12248	11784	12136
DENVER COUNTY	31	220816	223847	229857	235546	237415	232901	228588	221387	213745
DOLORES COUNTY	33	896	797	743	759	841	902	875	724	692
DOUGLAS COUNTY	35	23385	27277	29704	29955	31775	31589	31294	30514	29241
EAGLE COUNTY	37	13519	14616	13369	13307	12607	12384	12141	12256	12954
ELBERT COUNTY	39	3093	3486	3761	4115	4628	4569	4119	4111	183119
EL PASO COUNTY	41	159703	166471	174392	180757	185411	185133	183161	183813	4022
FREMONT COUNTY	43	13681	13335	12938	13824	14054	14940	14634	13857	13524
GARFIELD COUNTY	45	13491	14820	16274	17616	18206	19088	17802	16703	15449
GILPIN COUNTY	47	1243	1364	1442	1478	1403	1159	1192	949	741
GRAND COUNTY	49	3765	3735	3794	4035	4231	3850	3957	4040	3992
GUNNISON COUNTY	51	4071	4239	4432	5023	5231	5724	5611	5641	5340
HINSDALE COUNTY	53	131	175	216	195	243	237	306	283	305
HUERFANO COUNTY	55	2788	2844	2913	2965	2929	3271	2916	2731	2707
JACKSON COUNTY	57	548	475	420	382	474	429	470	477	447
JEFFERSON COUNTY	59	104607	107186	109944	111888	114038	113276	111341	108039	107015
KIOWA COUNTY	61	577	614	616	627	587	588	597	490	536
KIT CARSON COUNTY	63	2574	2632	2798	2781	3074	2886	2751	2599	2553
LAKE COUNTY	65	3114	3524	3305	2914	2622	2595	2670	2609	12989
LA PLATA COUNTY	67	13416	13858	14069	14828	14868	14727	14463	13765	3231
LARIMER COUNTY	69	78193	80848	84101	87022	88918	90945	90643	88268	87864
LAS ANIMAS COUNTY	71	6152	5958	5917	5899	5388	5009	4953	5604	5660
LINCOLN COUNTY	73	1440	1377	1278	1544	1476	1542	1409	1258	1165
LOGAN COUNTY	75	7367	7938	8210	8818	8134	7826	7771	7915	7587
MESA COUNTY	77	40341	42736	46939	49140	49690	49377	49136	48464	47972
MINERAL COUNTY	79	240	196	233	267	218	253	265	282	221
MOFFAT COUNTY	81	3753	3942	4013	3840	4306	4262	4509	4491	4651
MONTEZUMA COUNTY	83	9307	9267	9885	9810	9587	9726	10136	9883	9533
MONTROSE COUNTY	85	13873	14847	15520	16118	16863	16515	15994	15507	14698
MORGAN COUNTY	87	11000	11302	11817	11560	10614	10509	9987	9326	10149
OTERO COUNTY	89	8925	9668	9782	9332	9546	9106	8818	8502	8950
OURAY COUNTY	91	1058	1183	1063	1000	1195	1173	1070	1091	1149
PARK COUNTY	93	2653	3076	2904	3354	3674	4152	3664	3909	3599
PHILLIPS COUNTY	95	1438	1425	1593	1714	1617	1599	1377	1336	1346
PITKIN COUNTY	97	3059	3101	3493	3498	3495	3768	3646	3298	3194
PROWERS COUNTY	99	5652	5892	6268	6138	6247	5587	5011	4868	5324
PUEBLO COUNTY	101	59284	61260	62801	64453	66062	67139	66914	67760	65376
RIO BLANCO COUNTY	103	1643	2004	2155	2218	2058	2050	1625	1721	1765
RIO GRANDE COUNTY	105	4840	5519	5368	5240	5242	4983	4197	4313	4343
ROUTT COUNTY	107	4723	4743	4856	5473	5578	5588	5948	6068	5777
SAGUACHE COUNTY	109	3165	3088	3053	3316	3483	3329	3556	3588	3313
SAN JUAN COUNTY	111	147	292	267	292	271	262	164	210	159
SAN MIGUEL COUNTY	113	1732	1663	1636	1885	2071	2153	2233	2185	2054
SEDGWICK COUNTY	115	774	866	902	915	860	903	902	905	934
SUMMIT COUNTY	117	5419	6576	7504	8738	9060	8823	8068	8210	7266
TELLER COUNTY	119	5024	5384	5814	5425	5449	5386	5269	5197	5955
WASHINGTON COUNTY	121	1772	1595	1586	1548	1548	1498	1548	1409	1446
WELD COUNTY	123	74882	78481	82489	85753	86773	85166	83677	80161	77952
YUMA COUNTY	125	3620	3465	3449	3317	3331	3702	3893	4029	3907
