Area	CountyFIPS	2010	2011	2012	2013	2014	2015	2016	2017	2018
COLORADO STATE	0	125,435	100,795	96,009	88,728	81,446	78,880	75,772	70,245	68,192
ADAMS COUNTY	1	11,490	9,131	9,173	8,186	7,198	7,045	6435	5815	6,072
ALAMOSA COUNTY	3	1503	1,349	1343	1,324	1304	1266	1237	1172	1,180
ARAPAHOE COUNTY	5	11,824	9,517	9,424	8,005	6,585	6,271	6272	5,687	5,725
ARCHULETA COUNTY	7	481	365	354	296	237	235	224	242	244
BACA COUNTY	9	282	215	199	199	198	201	191	160	151
BENT COUNTY	11	461	342	336	318	299	292	290	296	295
BOULDER COUNTY	13	4161	3,463	3,421	3,230	3039	2967	2915	2814	2,304
BROOMFIELD COUNTY	14	821	468	436	398	359	337	342	306	285
CHAFFEE COUNTY	15	803	646	566	537	507	389	372	344	334
CHEYENNE COUNTY	17	72	51	53	51	49	58	51	55	51
CLEAR CREEK COUNTY	19	311	234	222	215	207	156	141	134	134
CONEJOS COUNTY	21	897	727	733	721	708	708	596	572	572
COSTILLA COUNTY	23	85	559	564	595	625	625	624	605	583
CROWLEY COUNTY	25	378	326	309	304	299	318	260	258	251
CUSTER COUNTY	27	275	198	201	191	181	192	189	184	178
DELTA COUNTY	29	1764	1,398	1208	1,127	1046	1114	1110	1068	1,067
DENVER COUNTY	31	15,926	12,937	12,509	11,264	10,019	8,874	8313	7,432	7,160
DOLORES COUNTY	33	140	101	102	90	77	81	83	91	78
DOUGLAS COUNTY	35	1897	1,069	752	666	579	534	556	522	479
EAGLE COUNTY	37	290	229	157	126	95	110	105	109	101
ELBERT COUNTY	39	345	269	236	224	211	162	165	155	145
EL PASO COUNTY	41	15264	12,460	11,424	10,855	10285	10,086	9587	9281	8,716
FREMONT COUNTY	43	2541	2,110	1982	1,940	1898	1832	1766	1540	1,428
GARFIELD COUNTY	45	745	625	488	445	401	402	437	386	413
GILPIN COUNTY	47	156	113	117	94	71	71	71	65	68
GRAND COUNTY	49	235	177	156	112	67	82	87	77	75
GUNNISON COUNTY	51	362	336	230	229	227	231	217	187	182
HINSDALE COUNTY	53	13	9	9	9	8	15	12	10	11
HUERFANO COUNTY	55	961	756	705	705	705	681	625	595	576
JACKSON COUNTY	57	75	50	49	45	40	39	38	38	39
JEFFERSON COUNTY	59	8,002	6,497	5,867	5,307	4,746	4,129	4261	3,883	3,801
KIOWA COUNTY	61	93	65	60	62	64	55	50	53	55
KIT CARSON COUNTY	63	285	231	211	199	187	136	144	133	143
LAKE COUNTY	65	278	188	150	130	110	98	553	528	564
LA PLATA COUNTY	67	988	670	641	566	491	564	91	79	81
LARIMER COUNTY	69	6656	5,196	5166	4,870	4573	4448	4327	3351	3,094
LAS ANIMAS COUNTY	71	1336	1,066	1072	1,065	1058	1084	1010	1008	860
LINCOLN COUNTY	73	186	170	151	148	145	132	139	135	107
LOGAN COUNTY	75	1111	866	857	720	582	640	633	622	600
MESA COUNTY	77	5138	4,047	3919	3,905	3891	4021	3588	3329	3,331
MINERAL COUNTY	79	33	17	16	19	21	18	20	17	19
MOFFAT COUNTY	81	463	322	288	269	249	261	264	292	274
MONTEZUMA COUNTY	83	1397	1,162	1034	1,043	1052	1120	902	875	853
MONTROSE COUNTY	85	2014	1,466	1356	1,213	1069	1156	1091	1009	1,039
MORGAN COUNTY	87	916	646	677	631	585	543	537	482	478
OTERO COUNTY	89	1497	1,250	1200	1,207	1214	1282	1232	1249	1,311
OURAY COUNTY	91	152	125	87	75	63	78	67	58	59
PARK COUNTY	93	475	386	357	305	253	242	258	243	247
PHILLIPS COUNTY	95	186	135	140	132	124	113	98	93	90
PITKIN COUNTY	97	75	60	52	44	36	29	25	31	32
PROWERS COUNTY	99	856	693	661	644	626	522	524	505	480
PUEBLO COUNTY	101	9888	8,621	8,107	7,822	7536	7558	7471	7254	7,082
RIO BLANCO COUNTY	103	89	52	54	52	49	66	85	73	74
RIO GRANDE COUNTY	105	1034	847	816	784	751	764	802	734	750
ROUTT COUNTY	107	333	191	170	148	126	134	141	118	114
SAGUACHE COUNTY	109	646	551	541	524	506	493	467	446	418
SAN JUAN COUNTY	111	77	59	57	54	50	39	55	59	40
SAN MIGUEL COUNTY	113	132	114	97	88	78	59	51	50	49
SEDGWICK COUNTY	115	117	83	92	94	96	92	92	84	85
SUMMIT COUNTY	117	195	117	74	58	41	45	54	43	44
TELLER COUNTY	119	864	656	637	604	570	438	424	409	417
WASHINGTON COUNTY	121	218	153	162	164	165	177	178	169	166
WELD COUNTY	123	4326	3,542	3487	3,022	2556	2761	2614	2436	2,384
YUMA COUNTY	125	821	321	295	277	259	209	213	195	154
