Area	CountyFIPS	2010	2011	2012	2013	2014	2015	2016	2017	2018
COLORADO STATE	0	18383	19982	22502	21960	21414	23462	17159	16905	15718
ADAMS COUNTY	1	1,503	1,235	1,298	1,847	1,827	1,432	999	900	1,017
ALAMOSA COUNTY	3	337	341	412	346	285	277	289	267	242
ARAPAHOE COUNTY	5	1,522	1,484	1,416	1,676	2,018	2,780	1,650	2,111	1,817
ARCHULETA COUNTY	7	104	98	126	97	81	111	65	63	54
BACA COUNTY	9	32	52	56	60	64	20	9	7	3
BENT COUNTY	11	103	122	123	128	115	174	117	97	45
BOULDER COUNTY	13	605	861	1,068	683	654	669	608	693	632
BROOMFIELD COUNTY	14	186	205	197	154	167	133	110	118	131
CHAFFEE COUNTY	15	104	98	82	138	123	89	87	67	64
CHEYENNE COUNTY	17	3	5	12	11	12	19	12	6	5
CLEAR CREEK COUNTY	19	91	99	112	95	100	82	56	57	53
CONEJOS COUNTY	21	170	165	242	253	205	319	211	211	157
COSTILLA COUNTY	23	97	163	226	251	187	234	298	255	284
CROWLEY COUNTY	25	48	33	56	44	37	57	32	36	38
CUSTER COUNTY	27	40	30	32	32	34	30	35	21	32
DELTA COUNTY	29	139	105	118	87	118	259	208	135	139
DENVER COUNTY	31	3,594	2,957	4,530	3,232	3,479	3,779	3,168	3,236	3,181
DOLORES COUNTY	33	46	66	55	76	50	56	35	34	29
DOUGLAS COUNTY	35	345	524	614	616	596	792	405	407	291
EAGLE COUNTY	37	239	249	349	243	211	160	173	110	112
ELBERT COUNTY	39	42	105	90	109	80	99	62	58	449
EL PASO COUNTY	41	774	1,023	1,131	870	983	1,766	593	641	56
FREMONT COUNTY	43	268	463	415	592	534	352	264	212	137
GARFIELD COUNTY	45	264	308	268	239	257	255	178	138	215
GILPIN COUNTY	47	10	7	6	9	12	14	20	10	16
GRAND COUNTY	49	59	68	66	91	79	107	65	89	79
GUNNISON COUNTY	51	52	83	55	155	109	95	61	37	34
HINSDALE COUNTY	53	1	1	2	1	2	4	4	4	4
HUERFANO COUNTY	55	100	61	47	18	6	12	29	13	26
JACKSON COUNTY	57	40	35	33	28	13	6	9	5	9
JEFFERSON COUNTY	59	1,584	1,477	1,610	1,656	1,510	1,632	1,369	1,400	1,377
KIOWA COUNTY	61	5	8	7	15	13	5	10	6	3
KIT CARSON COUNTY	63	72	116	150	141	122	126	102	108	111
LAKE COUNTY	65	45	34	38	54	37	34	15	17	182
LA PLATA COUNTY	67	202	325	270	387	381	354	282	193	21
LARIMER COUNTY	69	574	693	838	791	826	963	827	931	946
LAS ANIMAS COUNTY	71	242	376	376	288	296	261	188	160	175
LINCOLN COUNTY	73	24	35	33	56	27	57	35	22	15
LOGAN COUNTY	75	147	199	200	182	162	169	121	136	99
MESA COUNTY	77	769	941	721	797	843	686	521	757	693
MINERAL COUNTY	79	2	0	3	3	1	0	1	4	2
MOFFAT COUNTY	81	344	411	387	397	271	374	276	238	246
MONTEZUMA COUNTY	83	245	283	264	353	321	350	272	253	266
MONTROSE COUNTY	85	198	195	202	170	172	233	308	137	132
MORGAN COUNTY	87	245	303	352	361	212	216	194	145	120
OTERO COUNTY	89	160	255	257	243	238	223	167	154	152
OURAY COUNTY	91	13	16	9	12	9	11	10	6	8
PARK COUNTY	93	140	194	255	238	187	223	161	118	74
PHILLIPS COUNTY	95	34	71	104	88	93	99	57	70	50
PITKIN COUNTY	97	16	17	16	10	8	7	5	7	5
PROWERS COUNTY	99	140	148	152	278	247	185	100	96	121
PUEBLO COUNTY	101	740	874	1,021	879	820	796	673	626	462
RIO BLANCO COUNTY	103	43	78	42	52	38	54	24	30	20
RIO GRANDE COUNTY	105	151	185	203	182	159	165	177	170	123
ROUTT COUNTY	107	190	224	206	142	112	124	85	117	56
SAGUACHE COUNTY	109	64	135	116	82	87	85	62	70	26
SAN JUAN COUNTY	111	6	18	33	38	35	36	29	22	34
SAN MIGUEL COUNTY	113	32	51	40	39	26	18	9	14	15
SEDGWICK COUNTY	115	62	43	32	44	46	61	21	3	2
SUMMIT COUNTY	117	64	48	46	40	47	35	26	48	13
TELLER COUNTY	119	214	290	243	276	199	247	209	157	100
WASHINGTON COUNTY	121	106	136	114	115	121	162	106	74	49
WELD COUNTY	123	483	635	796	1,261	1203	1166	770	510	631
YUMA COUNTY	125	109	122	129	109	107	123	95	68	38
