Area	CountyFIPS	2010	2011	2012	2013	2014	2015	2016	2017	2018
COLORADO STATE	0							9801	10,618	9925
ADAMS COUNTY	1					1,649	1,347	923	862	914
ALAMOSA COUNTY	3					250	230	236	222	187
ARAPAHOE COUNTY	5					1,980	2,738	1615	2082	1655
ARCHULETA COUNTY	7								2	1
BACA COUNTY	9									
BENT COUNTY	11									1
BOULDER COUNTY	13					551	488	418	487	445
BROOMFIELD COUNTY	14					162	131	110	117	126
CHAFFEE COUNTY	15					57	51	54	40	37
CHEYENNE COUNTY	17									
CLEAR CREEK COUNTY	19					71	64	39	41	40
CONEJOS COUNTY	21					92	74	75	104	64
COSTILLA COUNTY	23					47	68	70	54	64
CROWLEY COUNTY	25									
CUSTER COUNTY	27									
DELTA COUNTY	29							2	1	4
DENVER COUNTY	31					3,461	3,767	3165	3235	3175
DOLORES COUNTY	33							2		2
DOUGLAS COUNTY	35					175	284	132	135	93
EAGLE COUNTY	37					21	11	8	6	4
ELBERT COUNTY	39					1	1	1		
EL PASO COUNTY	41							1		
FREMONT COUNTY	43									
GARFIELD COUNTY	45					167	144	92	76	102
GILPIN COUNTY	47					4	2	1	2	2
GRAND COUNTY	49					25	32	13	20	16
GUNNISON COUNTY	51							1		
HINSDALE COUNTY	53									
HUERFANO COUNTY	55									
JACKSON COUNTY	57							4		
JEFFERSON COUNTY	59					1,390	1,483	1223	1313	1321
KIOWA COUNTY	61							1		
KIT CARSON COUNTY	63									
LAKE COUNTY	65					31	28	13	17	20
LA PLATA COUNTY	67									
LARIMER COUNTY	69					317	272	218	267	292
LAS ANIMAS COUNTY	71									
LINCOLN COUNTY	73									
LOGAN COUNTY	75					143	151	106	127	80
MESA COUNTY	77					799	618	462	689	605
MINERAL COUNTY	79							1	3	2
MOFFAT COUNTY	81									
MONTEZUMA COUNTY	83									
MONTROSE COUNTY	85									
MORGAN COUNTY	87					69	76	67	48	53
OTERO COUNTY	89									
OURAY COUNTY	91									
PARK COUNTY	93					16	16	7	10	1
PHILLIPS COUNTY	95									
PITKIN COUNTY	97						1			
PROWERS COUNTY	99								1	
PUEBLO COUNTY	101					275	147	89	104	70
RIO BLANCO COUNTY	103							1	2	2
RIO GRANDE COUNTY	105					125	109	109	105	96
ROUTT COUNTY	107									
SAGUACHE COUNTY	109					8	6	3	3	1
SAN JUAN COUNTY	111									
SAN MIGUEL COUNTY	113									
SEDGWICK COUNTY	115									
SUMMIT COUNTY	117					47	34	25	47	11
TELLER COUNTY	119									
WASHINGTON COUNTY	121									1
WELD COUNTY	123					565	763	513	395	438
YUMA COUNTY	125							1	1	
